"var1","var2","correlation","p_value","significance"
"factor_eth","factor_h",0.164154601160459,0,"***"
"factor_eth","factor_pcos",-0.118425092382394,0.138,"ns"
"factor_eth","factor_prl",0.119346048379007,0,"***"
"factor_eth","hormone1",0.0593072839754503,0.058,"ns"
"factor_eth","hormone2",0.172550002949802,0,"***"
"factor_eth","hormone3",-0.0465101855278769,0.094,"ns"
"factor_eth","hormone4",-0.0214916004323426,0.478,"ns"
"factor_eth","hormone5",-0.0490193659408473,0.086,"ns"
"factor_eth","hormone6",-0.0829545253949023,0.01,"*"
"factor_eth","hormone7",-0.0420982470605357,0.134,"ns"
"factor_eth","hormone8",-0.101131408871118,0,"***"
"factor_eth","hormone10_generated",0.0468885383872031,0.116,"ns"
"factor_eth","lipids1",0.057910039594499,0.052,"ns"
"factor_eth","lipids2",0.000282144416781985,0.992,"ns"
"factor_eth","lipids3",0.082745308444414,0.002,"**"
"factor_eth","lipids4",-0.00940926696118651,0.74,"ns"
"factor_eth","lipids5",0.0514789539193456,0.12,"ns"
"factor_eth","сarb_metabolism",-0.119871614743012,0,"***"
"factor_eth","lipid_pero1",0.00737631162621981,0.822,"ns"
"factor_eth","lipid_pero2",-0.0311091343232889,0.32,"ns"
"factor_eth","lipid_pero3",0.029739970826855,0.3,"ns"
"factor_eth","lipid_pero4",-0.0623939179829597,0.042,"*"
"factor_eth","lipid_pero5",-0.0143863633310781,0.628,"ns"
"factor_eth","antioxidant1",0.0024276002798813,0.944,"ns"
"factor_eth","antioxidant2",-0.012044050156643,0.69,"ns"
"factor_eth","antioxidant3",0.0919571589584395,0.006,"**"
"factor_eth","antioxidant4",0.0309234547725955,0.288,"ns"
"factor_eth","antioxidant5",0.0328716936936269,0.29,"ns"
"factor_h","factor_pcos",-0.523464852633688,0,"***"
"factor_h","factor_prl",0.0646011863668807,0.032,"*"
"factor_h","hormone1",0.0131157859846555,0.64,"ns"
"factor_h","hormone2",0.0823099504132844,0.006,"**"
"factor_h","hormone3",0.126826481206335,0,"***"
"factor_h","hormone4",0.0272413534704074,0.356,"ns"
"factor_h","hormone5",0.433354800829333,0,"***"
"factor_h","hormone6",-0.188121722276859,0,"***"
"factor_h","hormone7",0.0280378595203179,0.38,"ns"
"factor_h","hormone8",0.221340784949577,0,"***"
"factor_h","hormone10_generated",-0.0136144198451557,0.666,"ns"
"factor_h","lipids1",-0.0221784850205302,0.5,"ns"
"factor_h","lipids2",-0.0469882605493894,0.1,"ns"
"factor_h","lipids3",0.0240497390513608,0.384,"ns"
"factor_h","lipids4",-0.0364020756490264,0.254,"ns"
"factor_h","lipids5",-0.0554990827788223,0.104,"ns"
"factor_h","сarb_metabolism",-0.0360273656130789,0.222,"ns"
"factor_h","lipid_pero1",-0.0186116707753645,0.496,"ns"
"factor_h","lipid_pero2",-0.0283028749761472,0.322,"ns"
"factor_h","lipid_pero3",-0.026253165736336,0.41,"ns"
"factor_h","lipid_pero4",-0.0529200587473992,0.064,"ns"
"factor_h","lipid_pero5",0.0309993891524892,0.304,"ns"
"factor_h","antioxidant1",-0.00619326778230201,0.834,"ns"
"factor_h","antioxidant2",0.0268345393022781,0.394,"ns"
"factor_h","antioxidant3",0.0635960485033829,0.036,"*"
"factor_h","antioxidant4",-0.0777386433788143,0.004,"**"
"factor_h","antioxidant5",-0.0283115361272846,0.354,"ns"
"factor_pcos","factor_prl",-0.00362157645884522,1,"ns"
"factor_pcos","hormone1",0.0116668303531824,0.87,"ns"
"factor_pcos","hormone2",-0.0499987952954288,0.518,"ns"
"factor_pcos","hormone3",-0.191977728927109,0.012,"*"
"factor_pcos","hormone4",-0.182098792289541,0.016,"*"
"factor_pcos","hormone5",-0.243288714617943,0.004,"**"
"factor_pcos","hormone6",0.303425457823929,0,"***"
"factor_pcos","hormone7",0.0243254321665681,0.736,"ns"
"factor_pcos","hormone8",-0.267409951538057,0,"***"
"factor_pcos","hormone10_generated",0.138317196183426,0.07,"ns"
"factor_pcos","lipids1",-0.0138200783401849,0.888,"ns"
"factor_pcos","lipids2",0.0710212578413747,0.368,"ns"
"factor_pcos","lipids3",0.162482034183635,0.042,"*"
"factor_pcos","lipids4",-0.018171481882514,0.812,"ns"
"factor_pcos","lipids5",-0.0137079658136013,0.904,"ns"
"factor_pcos","сarb_metabolism",0.0403129570014381,0.622,"ns"
"factor_pcos","lipid_pero1",-0.0242803338846864,0.766,"ns"
"factor_pcos","lipid_pero2",-0.048369277601083,0.492,"ns"
"factor_pcos","lipid_pero3",-0.0889950253476249,0.258,"ns"
"factor_pcos","lipid_pero4",-0.021760875667935,0.754,"ns"
"factor_pcos","lipid_pero5",0.0983260840542147,0.202,"ns"
"factor_pcos","antioxidant1",-0.142187915941038,0.042,"*"
"factor_pcos","antioxidant2",0.000625464249323953,0.996,"ns"
"factor_pcos","antioxidant3",-0.120324264940438,0.14,"ns"
"factor_pcos","antioxidant4",-0.103431291633998,0.196,"ns"
"factor_pcos","antioxidant5",-0.0266745747923402,0.712,"ns"
"factor_prl","hormone1",0.0394435668594007,0.172,"ns"
"factor_prl","hormone2",0.433288751125326,0,"***"
"factor_prl","hormone3",0.0704501019512401,0.02,"*"
"factor_prl","hormone4",0.020551804310944,0.5,"ns"
"factor_prl","hormone5",0.0174756215809112,0.59,"ns"
"factor_prl","hormone6",0.0190397789711427,0.542,"ns"
"factor_prl","hormone7",0.0156481588178256,0.61,"ns"
"factor_prl","hormone8",-0.00215211041607147,0.954,"ns"
"factor_prl","hormone10_generated",0.0138348882594194,0.652,"ns"
"factor_prl","lipids1",-0.0282265781533412,0.336,"ns"
"factor_prl","lipids2",-0.0121952724094189,0.722,"ns"
"factor_prl","lipids3",0.0465359773025529,0.104,"ns"
"factor_prl","lipids4",-0.0123247991231409,0.704,"ns"
"factor_prl","lipids5",-0.00974258168310324,0.738,"ns"
"factor_prl","сarb_metabolism",-0.0484900862067648,0.106,"ns"
"factor_prl","lipid_pero1",0.00750822415505645,0.79,"ns"
"factor_prl","lipid_pero2",0.0032201746533689,0.916,"ns"
"factor_prl","lipid_pero3",0.0540435699700812,0.078,"ns"
"factor_prl","lipid_pero4",-0.00776724381283779,0.794,"ns"
"factor_prl","lipid_pero5",0.0231875445473096,0.434,"ns"
"factor_prl","antioxidant1",0.0216318497815973,0.48,"ns"
"factor_prl","antioxidant2",-0.0256586966522251,0.354,"ns"
"factor_prl","antioxidant3",0.023296590062,0.462,"ns"
"factor_prl","antioxidant4",0.00907221877460453,0.758,"ns"
"factor_prl","antioxidant5",0.0351167647890165,0.238,"ns"
"hormone1","hormone2",0.175079527841435,0,"***"
"hormone1","hormone3",-0.00653066104842268,0.832,"ns"
"hormone1","hormone4",0.018386031960744,0.56,"ns"
"hormone1","hormone5",-0.0580961223700847,0.05,"ns"
"hormone1","hormone6",-0.0474173589977871,0.1,"ns"
"hormone1","hormone7",0.0528976778199291,0.07,"ns"
"hormone1","hormone8",-0.0262854224993479,0.378,"ns"
"hormone1","hormone10_generated",-0.00762613930113688,0.802,"ns"
"hormone1","lipids1",-0.0557247297031929,0.056,"ns"
"hormone1","lipids2",-0.00725727361885607,0.802,"ns"
"hormone1","lipids3",-0.00820439797176704,0.758,"ns"
"hormone1","lipids4",-0.0127805161580258,0.662,"ns"
"hormone1","lipids5",-0.0745621556626833,0.016,"*"
"hormone1","сarb_metabolism",-0.0563188786430372,0.056,"ns"
"hormone1","lipid_pero1",-0.0476401963644026,0.09,"ns"
"hormone1","lipid_pero2",-0.0338316608388458,0.256,"ns"
"hormone1","lipid_pero3",-0.0497621337028469,0.102,"ns"
"hormone1","lipid_pero4",0.00219467969260792,0.932,"ns"
"hormone1","lipid_pero5",-0.0452610705825625,0.13,"ns"
"hormone1","antioxidant1",0.0098092634620065,0.758,"ns"
"hormone1","antioxidant2",0.0326898004313343,0.268,"ns"
"hormone1","antioxidant3",8.83000864433489e-05,1,"ns"
"hormone1","antioxidant4",0.0411998656498208,0.144,"ns"
"hormone1","antioxidant5",0.0360206967265607,0.196,"ns"
"hormone2","hormone3",0.107208840239627,0,"***"
"hormone2","hormone4",0.00294379190782867,0.924,"ns"
"hormone2","hormone5",0.0133615076197915,0.646,"ns"
"hormone2","hormone6",0.00770943790148681,0.798,"ns"
"hormone2","hormone7",0.157491469567656,0,"***"
"hormone2","hormone8",0.000215052659837958,0.98,"ns"
"hormone2","hormone10_generated",0.167293978264073,0,"***"
"hormone2","lipids1",-0.123684015757569,0,"***"
"hormone2","lipids2",-0.0201899371811376,0.48,"ns"
"hormone2","lipids3",0.089642969900627,0,"***"
"hormone2","lipids4",-0.0045081091675332,0.892,"ns"
"hormone2","lipids5",-0.09974626753904,0,"***"
"hormone2","сarb_metabolism",-0.0547467807512244,0.064,"ns"
"hormone2","lipid_pero1",0.0109712826720985,0.686,"ns"
"hormone2","lipid_pero2",0.0491807158183456,0.098,"ns"
"hormone2","lipid_pero3",0.0396241437546234,0.18,"ns"
"hormone2","lipid_pero4",0.0490216330156649,0.112,"ns"
"hormone2","lipid_pero5",-0.0442875452142203,0.146,"ns"
"hormone2","antioxidant1",0.0202576646633959,0.478,"ns"
"hormone2","antioxidant2",0.0138357916733583,0.632,"ns"
"hormone2","antioxidant3",0.030616601423095,0.346,"ns"
"hormone2","antioxidant4",0.0315414300229928,0.292,"ns"
"hormone2","antioxidant5",0.056384227680025,0.048,"*"
"hormone3","hormone4",0.58366515462067,0,"***"
"hormone3","hormone5",0.241085853888668,0,"***"
"hormone3","hormone6",-0.0862838791598006,0.006,"**"
"hormone3","hormone7",-0.0117455156741207,0.712,"ns"
"hormone3","hormone8",0.0303871641578193,0.316,"ns"
"hormone3","hormone10_generated",0.0528770550429793,0.066,"ns"
"hormone3","lipids1",-0.0242064342805666,0.388,"ns"
"hormone3","lipids2",0.0672707247882285,0.016,"*"
"hormone3","lipids3",0.0944280060001077,0.002,"**"
"hormone3","lipids4",0.0594730858519363,0.03,"*"
"hormone3","lipids5",-0.0324851376577775,0.348,"ns"
"hormone3","сarb_metabolism",-0.0962558638238844,0,"***"
"hormone3","lipid_pero1",-0.0224751879517209,0.458,"ns"
"hormone3","lipid_pero2",0.0162948607958729,0.542,"ns"
"hormone3","lipid_pero3",0.0174997502465991,0.548,"ns"
"hormone3","lipid_pero4",0.0474106801045577,0.096,"ns"
"hormone3","lipid_pero5",0.000178853660801571,0.996,"ns"
"hormone3","antioxidant1",0.00314517870454374,0.904,"ns"
"hormone3","antioxidant2",-0.00267872911688766,0.942,"ns"
"hormone3","antioxidant3",0.073422079293964,0.008,"**"
"hormone3","antioxidant4",-0.0172830286841185,0.55,"ns"
"hormone3","antioxidant5",0.0362779672013796,0.226,"ns"
"hormone4","hormone5",0.0505216966760262,0.08,"ns"
"hormone4","hormone6",-0.0431349716891881,0.132,"ns"
"hormone4","hormone7",-0.324924303506095,0,"***"
"hormone4","hormone8",-0.0322081948576719,0.278,"ns"
"hormone4","hormone10_generated",-0.144163417184513,0,"***"
"hormone4","lipids1",-0.0164306658908742,0.596,"ns"
"hormone4","lipids2",0.0622281172951033,0.024,"*"
"hormone4","lipids3",0.0483756409478663,0.09,"ns"
"hormone4","lipids4",0.0557483016282771,0.066,"ns"
"hormone4","lipids5",-0.0276956567995948,0.446,"ns"
