"Model","AIC","BIC","LogLik","DF","McFadden_R2","Accuracy","AUC"
"Hormone8_only",916.573361154306,926.663171388565,-456.286680577153,2,0.0154332046917677,0.86050566695728,0.507557624113475
"H7_H8",918.404937165539,933.539652516927,-456.20246858277,3,0.0156149157452918,0.86050566695728,0.568474544072948
"Hormone5_only",924.173076934958,934.262887169217,-460.086538467479,2,0.00723394298863678,0.86050566695728,0.536828774062817
"Hormone4_only",927.689990797404,937.779801031662,-461.844995398702,2,0.00343957778106252,0.86050566695728,0.535587639311044
"Stepwise",913.119649002124,938.344174587771,-451.559824501062,5,0.0256327256000564,0.86050566695728,0.571409574468085
"Hormone2_only",928.338992164199,938.428802398457,-462.169496082099,2,0.0027393763254252,0.86050566695728,0.494269250253293
"Hormone1_only",928.827854575279,938.917664809538,-462.41392728764,2,0.00221194727926555,0.86050566695728,0.502456940222898
"Hormone3_only",930.072078786582,940.161889020841,-463.036039393291,2,0.000869565508645143,0.86050566695728,0.587398682877406
"Hormone6_only",930.38908027527,940.478890509529,-463.194540137635,2,0.00052755559129336,0.86050566695728,0.506541286727457
"Hormone10_only",930.628287834943,940.718098069202,-463.314143917472,2,0.0002694768104895,0.86050566695728,0.554245820668693
"Hormone7_only",930.872544074799,940.962354309058,-463.4362720374,2,5.95105623724113e-06,0.86050566695728,0.535280521783181
"H5_H6",925.955439726231,941.090155077619,-459.977719863115,3,0.00746874972117795,0.86050566695728,0.561797112462006
"H2_H4",927.189255878307,942.323971229696,-460.594627939154,3,0.00613759710752582,0.86050566695728,0.626215805471125
"Two_Hormones_H1H2",927.868861380894,943.003576732283,-460.934430690447,3,0.00540437713832831,0.86050566695728,0.613145896656535
"Two_Hormones_H3H4",929.689761055164,944.824476406552,-461.844880527582,3,0.00343982564779832,0.86050566695728,0.550712386018237
"H1_H3",929.91973236115,945.054447712538,-461.959866180575,3,0.00319171177401567,0.86050566695728,0.522169452887538
"Three_Hormones",929.27200380845,949.451624276967,-460.636001904225,4,0.00604832114586995,0.86050566695728,0.59023556231003
"Interaction_H1H2",929.728128625715,949.907749094232,-460.864064312857,4,0.00555621238101733,0.86050566695728,0.5737968591692
"All_Hormones",919.306681128848,969.755732300142,-449.653340564424,10,0.0297465006886207,0.86050566695728,0.588275709219858
