"","Высота_генеративного_побега","Длина_первого_листа","Ширина_первого_листа","Длина_второго_листа","Ширина_второго_листа","Длина_внешнего_околоцветника","Ширина_внешнего_околоцветника","Длина_внутреннего_околоцветника","Ширина_внутреннего_околоцветника","Высота_тычинки","Высота_пестика"
"Высота_генеративного_побега",1,0.661989940878383,0.344460939967586,0.688705601509312,0.476928780132489,0.495735169595074,0,0.450175856845365,0,0.395035310423571,0.419218330849304
"Длина_первого_листа",0.661989940878383,1,0.634847270744891,0.944021162273648,0.62240106824593,0.456232763732282,0,0.379818274099418,0,0.330945736468011,0.207952563421315
"Ширина_первого_листа",0.344460939967586,0.634847270744891,1,0.619864167572122,0.797186029899776,0.338580998223562,0.322732738980012,0.326417319563931,0.207197342941389,0.386842484478899,0.211612178790457
"Длина_второго_листа",0.688705601509312,0.944021162273648,0.619864167572122,1,0.627003357482136,0.490907738658033,0.221792906064815,0.395758893056256,0,0.325817545992592,0
"Ширина_второго_листа",0.476928780132489,0.62240106824593,0.797186029899776,0.627003357482136,1,0.371595325522637,0.379945540955478,0.38229369109991,0.247559281083083,0.469306912124707,0.272654210275525
"Длина_внешнего_околоцветника",0.495735169595074,0.456232763732282,0.338580998223562,0.490907738658033,0.371595325522637,1,0.598660062891567,0.923861133464536,0.489544833737156,0.454457163982624,0.596671982768258
"Ширина_внешнего_околоцветника",0,0,0.322732738980012,0.221792906064815,0.379945540955478,0.598660062891567,1,0.637305055691178,0.878735293149616,0.245642798646853,0.342245897926718
"Длина_внутреннего_околоцветника",0.450175856845365,0.379818274099418,0.326417319563931,0.395758893056256,0.38229369109991,0.923861133464536,0.637305055691178,1,0.569549248486214,0.54363938079045,0.61036050420406
"Ширина_внутреннего_околоцветника",0,0,0.207197342941389,0,0.247559281083083,0.489544833737156,0.878735293149616,0.569549248486214,1,0.205208178850082,0.29207867443199
"Высота_тычинки",0.395035310423571,0.330945736468011,0.386842484478899,0.325817545992592,0.469306912124707,0.454457163982624,0.245642798646853,0.54363938079045,0.205208178850082,1,0.293651764817079
"Высота_пестика",0.419218330849304,0.207952563421315,0.211612178790457,0,0.272654210275525,0.596671982768258,0.342245897926718,0.61036050420406,0.29207867443199,0.293651764817079,1
