Точка_сбора	Высота_генеративного_побега	Длина_первого_листа	Ширина_первого_листа	Длина_второго_листа	Ширина_второго_листа	Длина_внешнего_околоцветника	Ширина_внешнего_околоцветника	Длина_внутреннего_околоцветника	Ширина_внутреннего_околоцветника	Высота_тычинки	Высота_пестика
Г	4.5	8.4	1	7.6	0.6	1.9	0.7	2	1	1.2	1
Г	4.2	7.4	0.9	7	0.6	2.4	0.8	2.3	1.1	1.3	1.2
Г	5.8	10.2	1.1	9.3	0.7	2.9	0.8	2.9	1.1	1.9	1.3
Г	4.7	8.5	1.1	7.6	0.9	2.2	0.7	2.3	1.1	1.6	1.4
Г	4.3	7.7	1.2	7.9	0.7	2.5	0.8	2.4	1.2	1.3	1.2
Г	6	8.5	1	8	0.6	2.3	0.7	2.7	1	1.6	1.4
Г	2.7	8.5	0.9	7	0.7	2.3	0.6	2.4	1	1.8	1.2
Г	4.1	7	0.6	5.8	0.5	2	0.5	2.1	0.7	1.3	0.8
Г	6.1	8.5	0.8	8	0.6	2.1	0.6	2.2	0.9	1.3	0.9
Г	6.8	11	1.1	10	0.7	2.7	0.9	2.8	1.6	1.7	1.6
Г	4.6	8.5	1	8.2	0.6	2.1	0.7	1.9	1	1.1	0.6
Г	4	8.5	0.6	7.1	0.4	1.9	0.5	2	0.8	1.3	1
Г	4.3	7.8	0.9	7.6	0.7	1.8	0.6	1.9	0.8	1.4	1.2
Г	5	8.4	0.7	8.3	0.5	2.4	0.7	2.2	0.9	1.3	0.7
Г	5.3	10.3	1.1	8.7	0.7	1.9	0.6	2	0.7	1.2	0.8
И	12.5	14.2	1.7	11.7	0.9	2.5	0.5	2.434	0.552	1.6	1.503
И	14.8	12.5	1.1	12	0.7	2.7	0.4	2.498	0.441	1.4	1.476
И	13.8	12.3	1	12	0.8	2.3	0.4	2.178	0.487	1.6	1.211
И	7.5	11.3	1	10.8	0.7	1.8	0.3	1.649	0.371	1.1	0.827
И	9	12.5	1.6	11.6	0.9	2.3	0.5	2.232	0.617	1.8	1.15
