"Variable","Group","Distribution","Parameter1_Name","Parameter1","Parameter2_Name","Parameter2","Mean","SD","N","BIC"
"lipids1","0","lognormal","meanlog",-0.125362982666878,"sdlog",0.412326046614981,0.957304964539007,0.387210902700395,987,818.460204739267
"lipids1","1","lognormal","meanlog",-0.0910949537008014,"sdlog",0.402578809322623,0.984625,0.370435554449084,160,143.903684517966
"lipids1",NA,"Insufficient data",NA,NA,NA,NA,NA,NA,0,NA
"lipids2","0","lognormal","meanlog",1.47548328287845,"sdlog",0.198898667943611,4.46140830800405,0.910692368872158,987,2539.44737905229
"lipids2","1","lognormal","meanlog",1.54181929613994,"sdlog",0.193991420522475,4.7635625,0.962299621795061,160,432.811622618288
"lipids2",NA,"Insufficient data",NA,NA,NA,NA,NA,NA,0,NA
"lipids3","0","lognormal","meanlog",0.0679674615738079,"sdlog",0.251427277691379,1.10424518743668,0.276740138256729,987,223.634441267967
"lipids3","1","lognormal","meanlog",0.0810529206255909,"sdlog",0.235974888986017,1.115,0.266455891543731,160,28.0580505459731
"lipids3",NA,"Insufficient data",NA,NA,NA,NA,NA,NA,0,NA
"lipids4","0","lognormal","meanlog",1.03070408974726,"sdlog",0.297854657257944,2.92795339412361,0.874513058280767,987,2458.57449084073
"lipids4","1","lognormal","meanlog",1.12036668273174,"sdlog",0.290706268069515,3.1979375,0.944966870322071,160,427.386605637918
"lipids4",NA,"Insufficient data",NA,NA,NA,NA,NA,NA,0,NA
"lipids5","0","lognormal","meanlog",-0.904435251056616,"sdlog",0.366459193057617,0.43144608116524,0.154593540591754,987,-952.216822452823
"lipids5","1","normal","mean",0.444509461009174,"sd",0.156802327499309,0.444509461009174,0.1572946437107,160,-128.675506521767
"lipids5",NA,"Insufficient data",NA,NA,NA,NA,NA,NA,0,NA
"lipids1","Overall","lognormal","meanlog",-0.120650616222178,"sdlog",0.410978999133648,0.960993031358885,0.384728380441151,1148,953.327188780132
"lipids2","Overall","lognormal","meanlog",1.48493159010776,"sdlog",0.199571515458677,4.5044425087108,0.923673413453864,1148,2981.18362996652
"lipids3","Overall","lognormal","meanlog",0.0700676082528167,"sdlog",0.249435504267904,1.10606271777003,0.275330036535406,1148,244.727610116662
"lipids4","Overall","lognormal","meanlog",1.04326843940518,"sdlog",0.298364923466066,2.96567073170732,0.888798442231114,1148,2890.44919171435
"lipids5","Overall","lognormal","meanlog",-0.900599533554249,"sdlog",0.368201480426093,0.433268348623853,0.154902408195883,1148,-1089.79307949362
